"key","Age_in_years","Bike_Type","Brake_Type","Brand","Cassette","Chainrings","Color","Condition","Crankset","Department","Drivetrain_Type","Features","Fork","Frame_Number","Frame_Size","Front_Derailleur","Gear_Change_Mechanism","Gender","Handlebar_Type","Item_Weight","MPN","Material","Model","Model_Year","Number_of_Speeds","Rear_Derailleur","Saddle","Seatpost","Shifter_Style","Shifters","Stem","Suspension_Type","Tyre_Type","UPC","Vintage","Wheel_Set","Wheel_Size","context_identifier","currency","execution_id","feed_code","item_ranking","price","record_create_by","record_create_dt","site","source_country","src","starting_bid","title","total_bid","type"
"","","Kids Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Unisex Kids","","","","","","","","","","","","Aluminium","","","","","","","","","","","","","","","24 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","13","","ebay_australia_bike","2022-10-17 17:36:44","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134284218337?hash=item1f43f68fe1:g:zZMAAOSwLO5jTNoK&amdata=enc%3AAQAHAAAAoMyvV0PysnhIPVbKMQCTctn1ZePnPzXpozZm2N3jNIZm4EB2iiGJW9GJG00NPoN07yQVJ%2BS0vDLjLXng0GuclEIeW39hseMMXZTiKgAqnsWzKwkyzuuHiGjqrop29AhYeGcjuGw%2Fz%2Bjd2O26uonqXVunKYPG5I0FRkUhRg6Qm2yFpu87m8ksJM0CiszW32%2BYNGdfcyliI2eUePrtMc1hCqE%3D%7Ctkp%3ABk9SR5r7pvD8YA","AU $149.95"," GIANT XTC JR 24 Street - Kids Bike (7-12 Years 24'')","0","Bikes"
"","4","Road Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Unisex Adults","","","","","58 cm","","","","","","","Carbon Fibre","","2018","22 Speed","","","","","","","","","","No","","700C","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","14","AU $3,490.00","ebay_australia_bike","2022-10-17 17:36:44","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/234732879845?hash=item36a72b7fe5:g:zE8AAOSwW61jR-aT&amdata=enc%3AAQAHAAAAoCHog%2F0afSmnC00bhpRgSBWxhmkBsnWDXr8JWSMBYjH580ZlDb%2F7CP3ZZhLjN117WIhySrsiV4obPSvOEu3Yo36bARn%2FplKze4wzGTfcqzOJ121Rd%2FxE8IZmYd7KW72flOj4%2BaPKBaDmiUYRqCSef27RwSiTNE1h2zuMqYlFcMAseUXpJfy1IDkJjTRDWZaXXLRULqZpe4NniPbM3ynx%2BfA%3D%7Ctkp%3ABk9SR5z7pvD8YA",""," Giant TCR Advanced Pro Disc Size M/L 2018 Road Bicycle","","Bikes"
"","","Bike","","Giant","","","Mint","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Unisex Adults","","Adjustable Seat, Bell, Bottle Cage, Reflectors","","","19 inches","","","","","","","","","","8 Speed","","","","","","","","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","15","","ebay_australia_bike","2022-10-17 17:36:44","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134281399011?hash=item1f43cb8ae3:g:m5cAAOSwG1FjSlem&amdata=enc%3AAQAHAAAAoInNUedyT1RYWJGI07T8hiHk9GHyliDdQVerNKEuPjmVevpKEh5r3%2F%2Fu1SGmiF7dDnlOzryVtH5%2Bj5d%2F3OC5NSEVhZWYOIWdHmRmG5ZOsQ8qSBOfaoG%2B706l%2FWtEs7c1AHZpR2IW%2Ft0CkVOakybMUl9xpT2lCWnS7qj9fk%2Brbdqxsf0PWwmSg3sLLSFHGLXyFqkxva003422PXKOfs%2BMX3E%3D%7Ctkp%3ABk9SR5z7pvD8YA","AU $350.00"," Giant Bicycle - Adult 19 inch with Shimano 8 speed gears","0","Bikes"
"","","Racing Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","54 cm","","","","","","","Aluminium","","","","","","","","","","","","","Yes","","700C","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","16","","ebay_australia_bike","2022-10-17 17:36:44","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/185613707170?hash=item2b377067a2:g:kvkAAOSwbcJjRLEK&amdata=enc%3AAQAHAAAA4BsA0n338k5mvAbfNSzPtxZklo5o3IBy3XXKjQIQNvtAUCChQfYrXpbUj5nRMXk4E1DNrjrgzBM5KRkeYPmdjOUPqbb2RP09rc3LkTwDhj9SdRMN%2F90ayy1x6V5q3kPG0dgUkwobtN4ed0KtyqcnUEHeM58m7SuCUcjp9Rgf1r7rdt1mSwcHQLhVmKRZo3IoGVhjC1M50gnHMOE69rQy%2BEqkDB5ESm1iKtHecgaf1YrB0RgglpZwPZ6dtJSRUI%2F76YgZXTzydRLAbAcp4wQHk0WjLOhAaBoFaQw0RV3srFt1%7Ctkp%3ABk9SR6D7pvD8YA","AU $248.00"," Giant Cadex ALR1","0","Bikes"
"","2","Mountain Bike","","Giant","","","Green","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","2020","","","","","","","","","","","No","","20 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","17","AU $400.00","ebay_australia_bike","2022-10-17 17:36:44","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/324930343480?hash=item4ba75b9238:g:-hoAAOSwCVlhsa3A&amdata=enc%3AAQAHAAAAoA5IMVsTFRzwdYdOV1YSbPtq8bz%2B287wElwOcogvKa7AmkjcHgf71Lu77OwgI2ZxtHHtDG9j8Mix%2FuaMUaQ%2Fc8EOC7b0rFANdF0%2FQSPfqHoZZsEQBzxrfxD65jc7wDyLOGU5BKVpHkydsSZ6xWRfWYx6j%2FCxZgL%2Fjy67yMciHn3llzOCvXsTgzCpeid6NCXTtn4s53wQ2rhN8NCbs%2Fv7bY4%3D%7Ctkp%3ABk9SR8z7pvD8YA",""," Giant ARX 20 Inch 2020 Green","","Bikes"
"","","Kids Bike","","Giant","","","Orange","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","7 Speed","","","","","","","","","","No","","20 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","18","AU $60.00","ebay_australia_bike","2022-10-17 17:36:44","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/155211610358?hash=item24235538f6:g:fCkAAOSwpNtjTPR~&amdata=enc%3AAQAHAAAAoP%2B1BzQwUqJgmIFvIXne1ds2%2F5y407nPhBMnfAe8GLoRA1cneF1EkQ%2FjzAiY4JQx0pXvJJl6wd5DUVpm3CtPF0%2FDzBoXc3b%2FrEo93OJDTHa%2Bzvw1mBBkOQodnpC5Zv25oQ7C7BDdjsv4hfi35FvsT4pg0lQnwSeYVMxrgDdpEssgwzPt7Fhc9wXlh8cGozUe87Y88c%2BlVVgVXcTjcvv%2BSiM%3D%7Ctkp%3ABk9SR5r7pvD8YA",""," Giant XTC Jr MTB 20""","","Bikes"
"","","Road Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","46 cm","","","","","","","Carbon Fibre","","","20 Speed","","","","","","","","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","19","AU $520.00","ebay_australia_bike","2022-10-17 17:36:45","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/374299515489?hash=item5725fd5a61:g:arUAAOSwDJljRJjm&amdata=enc%3AAQAHAAAAoAnLUC1MkXNv6LkLb%2BXSNtVQUBYjyBHm9oQiIpHNKRGFUbBOzaifepF8CSaAIiedWHlfX9feEzxMXAIjzJZvFwNpqmnPNmyw311oypUkipgRIQ%2FvKcFRbhRW8cE%2FAlc%2FeJUW6NKB6zg%2FiI%2FgTr3omJvzVrdRxdAf6PiDF3FGQb17%2F74Pn7eswCqO2GvZIvtqwkujiFyisIu5bpu0E%2FdtyYw%3D%7Ctkp%3ABk9SR6D7pvD8YA",""," GIANT AVAIL CARBON 3 ROAD BIKE 46CM 20 SPEED","","Bikes"
"","","N/A","","CashSavvy Warrawong","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","20","AU $529.00","ebay_australia_bike","2022-10-17 17:36:45","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/285000084928?hash=item425b542dc0:g:uDAAAOSwxb5jRrvN&amdata=enc%3AAQAHAAAAoN9oq6MimgqkUYFFdTLfSWKZaKN5uizpvfuazywDrShTnTYyCnRHmz%2Fj6l1LFHfq1tUgNFP0xsB2ZLbWzMDF2r3PM01yJiz0d8EZbLnsvyNVLZZrNRxoPYzSJQMCAA9EB2KvfGrBy0Z5mRScOK2XR0U%2FIgJCp3wt2%2FjYYOcnHNGVtn3cQdLd69oujRjvCW3NqiJvNx7%2BK9CS8ybEyBANnyU%3D%7Ctkp%3ABk9SR5z7pvD8YA",""," Giant Defy Advanced Road Bicycle ""Pick Up Only""","","Bikes"
"","","Mountain Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","20 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","21","AU $70.00","ebay_australia_bike","2022-10-17 17:36:45","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/334241998951?hash=item4dd2602867:g:ykYAAOSwWqthqvdo&amdata=enc%3AAQAHAAAAoMgzahrhsCg8xWSw4eBMxrU4KPOOKhAbpIRMhgVu0XUWp2PV7rWUlcHiSi0vAOZwK1eU%2FWK1NnQaP6wHr3LwYa5FmJAF8me%2FnEjBciclXkPGulc%2BTTlBbydlJGnXwYE4Ft4rgnPwgDOWgD%2BgknIMm0sMglkRG%2FDn%2B3Cl2Y81osXKq8vU6JD3al%2BeoXqd%2F6KuNaxs57qJh4mts0XqF%2BGmEFE%3D%7Ctkp%3ABk9SR8z7pvD8YA",""," Giant Areva 150.  20 Inch Kids Mountain bike","","Bikes"
"","","Mountain Bike","","Giant Warp DS2","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","22","AU $250.00","ebay_australia_bike","2022-10-17 17:36:45","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/393788796415?hash=item5bafa42dff:g:KaAAAOSwmD9htdbu&amdata=enc%3AAQAHAAAAoBJ6mNvjvADyoXJ2tshJJgKsNtWUW1aXa1cSiM6vh1n1ooIz%2BjvkcIi5zC1U4TQNdygjVD%2FOaTQ%2FNtMYtgyI7l9K4fffSlXoArW%2FPC2XzGE2LgvJz3Kx%2BeoddU0Bd7igLewrABpuh8oBPxbhKr5Xfyf192rEqViZ7yQavhBqAV1ivhCS%2Bv4MZeZ90UmZMgYlue%2Bstph3vgikv%2FV5vfY%2FBSw%3D%7Ctkp%3ABk9SR8r7pvD8YA",""," Giant WARP DS2","","Bikes"
